Name,Phone,Address,City,State,Zip,County,Age
BLP2 Family Network,(678) 353-8599,14 Pine Tree Circle,Decatur,GA,30032,DeKalb,Under 3
"Blue Skies ABA, Inc",(706) 946-0466,"2800 Scenic Dr., Ste 12",Blue Ridge,GA,30513,Fannin,Under 3
"BT Solutions, LLC",678 671-9594,4744- A North Royal Atlanta Drive,Tucker,GA,30084,DeKalb,Under 3
Butterfly Effects,(888) 880-9270,300 Colonial Center Parkway Suite 100 N,Roswell,GA,30076,Fulton,Under 3
CABS ABA Therapy & Autism Services - Rome,(800) 844-1232,316 W. 10th Street,Rome,GA,30161,Floyd,Under 3
CABS ABA Therapy & Autism Services - Savannah,(800) 844-1232,107 Southern Blv. Ste. 201,Savannah,GA,31405,Chatham,Under 3
Calhoun Autism Network,(770) 608-2822,"Echota Baptist Church, 35 College Circle",Calhoun,GA,,Gordon,Under 3
Calvin Center Recreational and Therapeutic Riding,770-946-4276 x222,13550 Woolsey Road,Hampton,GA,,Henry,Under 3
CareStar,(478) 314-7770,Northside Square Office Park 3312 Northside Drive Suite A140,Macon,GA,31210,Bibb,Under 3
Carl McKinney,,1718 Rosewood Drive,Griffin,GA,,Spalding,Under 3
"Carol Weber, Ph.D.",(404) 257-0254,80 West Wieuca Road NW Suite 100,Atlanta,GA,30342,Fulton,Under 3
Carroll County Family Developmental Disability (CCFDD),404-451-8105,239 Martin Road,Carrollton,GA,30116,Carroll,Under 3
Center for New Beginnings,706-437-0505,727 West 6th Street,Waynesboro,GA,30830,Burke,Under 3
Center for Psychological & Educational Assessment,770-352-9952,54 South Avenue,Marietta,GA,30060,Cobb,Under 3
Central Georgia Autism Support Group Inc.,478-956-4204,210 Castlegate Road,Macon,GA,,Bibb,Under 3
Centralized Katie Beckett Medicaid,678-248-7449,"Right From The Start Medicaid Project 5815 Live Oak Parkway, Suite D",Nocross,GA,,Gwinnett,Under 3
"Cerebral Matters, LLC",404-493-0962,"6100 Lake Forrest Drive, NW Suite 108",Atlanta,GA,,Fulton,Under 3
ChanceLight Autism Services Athens,(706) 389-1146,135 Athens West Pkwy Ste C,Athens,GA,30606,Clarke,Under 3
ChanceLight Autism Services Decatur,(678) 973-1680,1549 Clairmont Road,Decatur,GA,30033,DeKalb,Under 3
ChanceLight Autism Services McDonough,(770) 615-6202,1233 Eagles Landing Pkwy Suites A/B,Stockbridge,GA,30281,Henry,Under 3
Chattahoochee County Health Department,706-989-3663,213 McNaughton Street P. O. Box 57,Cusseta,GA,31805,Chattahoochee,Under 3
Chattahoochee Valley ASD Study Committee,(509) 929-6449,,,GA,,Fayette,Under 3
Children and Family Programs at KSU,(470) 578-2233,Kennesaw State University 402 Bartow Avenue,Kennesaw,GA,30144-5591,Cobb,Under 3
Childrens at Hughes Spalding Developmental and Behavioral Pediatrics,(404) 785-9695,"35 Jesse Hill Jr Drive SE, 2nd Floor",Atlanta,GA,30303,Fulton,Under 3
Christy Kennedy,404 378-5734,234 East Parkwood Road,Decatur,GA,30030,DeKalb,Under 3
Circus Arts Institute - Circus Arts Social Summer,(404) 549-3000,1190 North Highland Ave. NE P.O. Box #8352,Atlanta,GA,30306,DeKalb,Under 3
Circus Arts Therapy,(404) 549-3000,2969 East Ponce De Leon Avenue; Suite 370,​Decatur,GA,30030​,DeKalb,Under 3
Clay County Health Department,229-768-2355,147 Wilson Street P.O. Box 66,Fort Gaines,GA,39851,Clay,Under 3
Clayton County Community Service Board,844-438-2778,157 Smith Street,Jonesboro,GA,30236,Clayton,Under 3
Cobb Autism Support,404.987.253,"Spectrum Psychological Services. 2551 Roswell Road, Suite 525",Marietta,GA,30062,Cobb,Under 3
Columbus Community Services (Southwest),229-435-3212,235 Roosevelt Avenue Suite 455,Albany,GA,31701,Dougherty,Under 3
"Communication Interventions, Inc.",(404) 720-4278,2025 Cogar drive,Decatur,GA,30032,DeKalb,Under 3
Community Autism Program (CAP Program),404-785-9350,Marcus Institute 1920 Briarcliff Road,Atlanta,GA,,DeKalb,Under 3
Compass Behavioral & Developmental Consultants LLC - Hinesvilles,(800) 832-9419 ext 1,"740 East General Stewart Way, Suite 108",Hinesville,GA,31313,Liberty,Under 3
Compass Behavioral & Developmental Consultants LLC - Thomas,(800) 832-9419 Ext. 1,602 Victoria Place Suite A,Thomasville,GA,31792,Thomas,Under 3
Compass Behavioral & Developmental Consultants LLC - Valdosta,(229) 412-8866,2225 Bemiss Rd Suite D,Valdosta,GA,31602,Lowndes,Under 3
Compass Behavioral & Developmental Consultants LLC -Warner Robins / Macon Area,(800) 832-9419 Ext. 1,402 Corder Rd Suite 400,Warner Robins,GA,31033,Houston,Under 3
"Compass Coordination, Inc.",(678) 372-6626,1124 N. Tennessee Street Suite 103,Cartersville,GA,30120,Bartow,Under 3
Cora Lee Institute,770-634-2349,"3080 Highlands Pkwy SE, Suite A",Smyrna,GA,30082,Cobb,Under 3
Core Health Provider Services,(678) 772-7415,"2131 Kingston Court, Suite 108",Marietta,GA,30060,Cobb,Under 3
Core Therapy Services - Fayette,(678) 626-0557,"100 Glendalough Court, Suite A",Tyrone,GA,30290,Fayette,Under 3
Creative Behavior Consulting,(570) 982-9436,342 The Chace,Sandy Springs,GA,30328,Fulton,Under 3
Crystal Jordan,(404) 468-2164,,Atlanta,GA,30311,Fulton,Under 3
CSRA Therapy Services,(706) 592-5565,Post Office Box 537,Hephzibah,GA,30815,Richmond,Under 3
CSS Healthcare Services-Developmental Disabilities Program,770-302-1383 X 106,8896 Tara Boulevard # 200,Jonesboro,GA,30236,Clayton,Under 3
DBHDD Region 3 Office,(404) 244-5050,3073 Panthersville Road. Building 10,Decatur,GA,30034,DeKalb,Under 3
DBHDD Region 5 Office,(912) 303-1670,1915 Eisenhower Drive Building 2,Savannah,GA,31406,Chatham,Under 3
DBHDD Region 6 Office,(706) 565-7835,3000 Schatulga Road Building 4,Columbus,GA,31907,Muscogee,Under 3
Developing Minds Treatment Center - Macon,(478) 238-4774,"1760 Bass Rd, Suite 101",Macon,GA,31210,Bibb,Under 3
"Developmental Crossroads, LLC",770-428-1128,2854 Johnson Ferry Road Suite 150,Marietta,GA,,Cobb,Under 3
Developmental Neurology Program,(404) 785-5424,"Advanced Pediatrics 1400 Tullie Road NE, Suite 300",Atlanta,GA,30329,DeKalb,Under 3
Developmental Neurology Program - Scottish Rite Hospital,(404) 785-5424,1001 Johnson Ferry Road NE,Atlanta,GA,30342,Fulton,Under 3
Dr. Elizabeth Young,(478) 633-8100,Autism Development Center 1014 Forsyth Street,Macon,GA,31201,Bibb,Under 3
Dr. June Kaufman,(678) 944-7670,1244 Clairmont RD NE,Decatur,GA,30030,DeKalb,Under 3
Dr. Sandy Wilson,770-251- 5873,"Lighthouse Counseling Center, PC 121 Jackson Street",Newnan,GA,30263,Coweta,Under 3
Dr. Shital Gaitonde,(918) 691-1237,1003 Bombay Lane,Roswell,GA,30076,Fulton,Under 3
DreamPower Therapeutic Equestrian Center,770-720-1910,123 Equest Drive,Canton,GA,,Cobb,Under 3
Dynamic Therapy Associates,770-974-2424,3105 Creekside Village Drive Suite 604,Kennesaw,GA,30144,Cobb,Under 3
DynaVox Mayer-Johnson,770.283.7862,130 Arizona Avenue #412,Atlanta,GA,30307,DeKalb,Under 3
Early Autism Services,(404) 490-2051,,,,,,Under 3
Early Bird's ABA,(770) 596-3828,,,,,,Under 3
Early Emory - Emory Autism Preschool,(404) 727-3964,Emory University 1551 Shoup Court,Atlanta,GA,30322,DeKalb,Under 3
Effingham Satellite -Gateway Community Serv. Board,912/754-3030,P.O. Box 1086 204 East Madison Avenue,Springfield,GA,31329,Effingham,Under 3
Emory Autism Center,(404) 727-8350,The Justin Tyler Truax Building 1551 Shoup Court,Atlanta,GA,30322,DeKalb,Under 3
ERIC Clearinghouse on Disabilities & Gifted Educa.,703/264-9474,Council for Exceptional Children 1920 Association Drive,Reston,VA,20191,,Under 3
"Essential Communication, Inc.",770-817-0181,130 Prospect Place,Alpharetta,GA,30005,Fulton,Under 3
Exceptional OPS,770-631-1035,P.O. Box 2151,Peachtree City,GA,,Fayette,Under 3
Family And Friends of Children with Autism,,Washington Street Community Center P.O. Box 226,Covington,GA,,Newton,Under 3
FAST - Family Autism Support Team,(229) 259-2571,1500 N. Patterson Street,Valdosta,GA,31698,Lowndes,Under 3
Floor Time Atlanta,404-373-8335,"Blackstone Centre 1777 NE Expressway, #175",Atlanta,GA,30329,DeKalb,Under 3
Floor Time Therapy,678/570-5221,2261 Piedmont Forest Drive,Marietta,GA,,Cobb,Under 3
FOCUS Respite - Alpharetta,770-234-9111,180 Academy Street,Alpharetta,GA,30009,Fulton,Under 3
FOCUS Respite - Chamblee,770-234-9111,3304 Henderson Mill Road,Chamblee,GA,30340,DeKalb,Under 3
Forsyth Autism & Special Needs Support Group,(770) 722-8925,The Vine Community Church 4655 Bethelview Road,Cumming,GA,30040,Forsyth,Under 3
Ft. Benning Autism Support Group,(941) 979-2663,7117 Baltzell Avenue,Fort Benning,GA,31905,Chattahoochee,Under 3
Fusion Autism Center - Cobb County,(470) 648-0510,137 Johnson Ferry Road Suite 2170,Marietta,GA,30068,Cobb,Under 3
Fusion Autism Center - Cumming,(470) 253-4121,1664 Market Place Blvd.,Cumming,GA,30041,Forsyth,Under 3
Fusion Autism Center - Dallas,(866) 610-0580,296 Merchants Square,Dallas,Georgia,30132,Paulding,Under 3
Fusion Autism Center - Fulton County,(470) 387-0593,"1260 Upper Hembree Road, Suites D Suite 101",Roswell,GA,30076,Fulton,Under 3
Fusion Autism Center - Gwinnett,(770) 847-7737,4390 Pleasant Hill Rd. GA,Duluth,GA,30096,Gwinnett,Under 3
Fusion Autism Center - Hall,(470) 655-1970,5328 Lanier Islands Parkway Unit 101,Buford,GA,30518,Hall,Under 3
Fusion Autism Center - Newman,(866) 610-0580,"2700 Highway 34 East, Building 100",Newnan,Georgia,30265,Coweta,Under 3
Fusion Autism Center - Peachtree City,(770) 268-2798,100 Governors Trace Suite 101,Peachtree City,GA,30269,Fayette,Under 3
Fusion Autism Center - Stockbridge,(866) 610-0580,"11 North Park Trail, Suite #123",Stockbridge,Georgia,30281,Henry,Under 3
Fusion Autism Center - Woodstock,(470) 499-2480,3229 S. Cherokee Lane Suite 1400,Woodstock,GA,30188,Cherokee,Under 3
Gainesville/Hall County Autism Parent Support Group,678-898-6828,5426 Amber Cove Way,Flowery Branch,GA,30504,Hall,Under 3
Georgia Autism Center,(770) 696-4384,"4046 Wetherburn Way, Ste. 1,",Peachtree Corners,GA,30092,Gwinnett,Under 3
Georgia Autism Conferences,770-904-4474,,,GA,,Gwinnett,Under 3
Georgia Autism Initiative,(404) 657-2850,"Georgia Department of Public Health 2 Peachtree Street, NW 11th Floor",Atlanta,GA,30303,Fulton,Under 3
Georgia Center for Autism and Developmental Pediatrics (GCADP),(404) 748-6013,"6065 Roswell Rd NE, Suite 470",Sandy Spring,GA,30328,Fulton,Under 3
Georgia Crisis and Access Line (BHL),404-420-3202,"Behavioral Health Link 75 Piedmont Avenue, Suite 910",Atlanta,GA,,Fulton,Under 3
Glenn-Nova Christian Academy,(770) 837-1953,5241 Rock Springs Road,Lithonia,GA,30058,DeKalb,Under 3
GN Integrated Pediatric Therapy,678-513-3851,7635 Rock Shadow Court,Gainesville,GA,30506,Hall,Under 3
Goal Point Behavior Group - Columbus,(706) 221-9629,"1921 Whittlesey Rd Suite 400,",Columbus,GA,31904,Muscogee,Under 3
Goal Point Behavior Group - Warner Robins,(478) 225-2179,644 Tallulah Trail,Warner Robins,GA,31088,Houston,Under 3
Golden Steps ABA,(706) 818-6211,3348 Peachtree Road NE Suite 700,Atlanta,GA,30326,Fulton,Under 3
Great Intervention Teachings,912-572-1048,387 Fox Hollow Circle,Hinesville,GA,31313,Liberty,Under 3
"Griffin Area Resource Center, Inc.",770/228-9919 x 22,P.O. Box 835 931 Hamilton Boulevard,Griffin,GA,30224,Spalding,Under 3
Heart Song LLC,(678) 936-4269,605 West Avenue,Gainesville,GA,30501,Hall,Under 3
Hopebridge Autism Therapy Center - Snellville,(470) 327-9193,2059 Scenic Hwy N Suite 101,Snellville,GA,30078,Gwinnett,Under 3
InCommunity Atlanta,(470) 357-6671 X1048,"3301 Buckeye Road, Suite 700",Atlanta,GA,30341,DeKalb,Under 3
Innovative Health Foundation,800-992-8977,"5050 Research Court, Suite 800",Suwanee,GA,30024,Gwinnett,Under 3
Int'l Rett Syndrome Association,1-800-818-7388,4600 Devitt Drive,Cincinnati,OH,45246,,Under 3
Intown Pediatric Behavioral Wellness,(404) 653-0322,340 Boulevard NE Suite 345,Atlanta,GA,30312,Fulton,Under 3
Invo Behavior and Therapy Services,(800) 356-4049,2550 Trade Center Drive,Evans,Georgia,30809,Columbia,Under 3
Jacob's Ladder Neurodevelopmental Learning Center,770/998-1017,407 Hardscrabble Road,Roswell,GA,30075,Fulton,Under 3
Kadiant - Forsyth,(866) 523-4268,"7360 McGinnis Ferry Rd, Suite 100,",John’s Creek,GA,30024,Forsyth,Under 3
Kadiant - Gwinnett,(866) 750-5554,"2810 Premiere Parkway, Suite 500",Duluth,GA,30097,Gwinnett,Under 3
Kathryn M. York Adapted Aquatics Center,(706) 922-9664,Wilson Family Y 3570 Wheeler Road,Augusta,GA,30909,Richmond,Under 3
Kick Lighter Resource Center,912-355-7633,7219 Seawright Drive,Savannah,GA,31416,Chatham,Under 3
Kiddo's Clubhouse,678-527-3224,11539 Park Woods Circle Suite 502,Alpharetta,GA,30005,Fulton,Under 3
Kids Enabled Magazine,404-401-9400,5579-B Chamblee Dunwoody Road,Atlanta,GA,,DeKalb,Under 3
Kimbridge Music Therapy Services,404-934-0115,4485 Tench Rd Suite 1211,Suwanee,GA,30024,Gwinnett,Under 3
Koru Kids Connections,(201) 639-4968,78 Dawsonville Way N Suite 140-38,Dawsonville,GA,30534,Dawson,Under 3
Language and Learning Clinic Home-based Program,404-785-9400,Marcus Austim Center 1920 Briarcliff Road,Atlanta,GA,30329,DeKalb,Under 3
"Law Offices of Dennise L. Grayson, LLC",(706) 310-1242,1 Third Street North,Watkinsville,GA,30677,Oconee,Under 3
Law Offices of Kathleen M. Flynn,404-479-4431,315 West Ponce de Leon Avenue Suite 940,Decatur,GA,30030,DeKalb,Under 3
Lighthouse Counseling,770-251-5873,121 Jackson Steet,Newnan,GA,30263,Coweta,Under 3
Lighthouse behavioral consulting,(762) 359-0003,,,,,Muscogee,Under 3
LM Speech,(678) 358-7237,2547 Ridgewood Terrace NW,Atlanta,GA,30318,Fulton,Under 3
Lowcountry Autism Foundation,(843) 876-0415,135 Rutledge Avenue,Charleston,SC,29403,,Under 3
MAAP Services For Autism/Aspergers/PDD/NOS,(219) 789-9874,P.O. Box 524,Crown Point,IN,46308,,Under 3
Macys Autism Pals,(916) 289-3720,100 Harbor Pointe Circle,Brunswick,GA,31523,Glynn,Under 3
Marcus Autism Center,(404) 785-9400,1920 Briarcliff Road,Atlanta,GA,30329,DeKalb,Under 3
Maximum Potential Kids,(404) 483-5066,11389 Stockbridge Highway Suite 229,Alpharetta,GA,30022,Fulton,Under 3
May Institute - Savannah,(912) 349-4843,"4 Mall Ct., Suite A",Savannah,GA,31406,Chatham,Under 3
Milestones Therapy,(229) 402-7188,117 3rd Street E,Tifton,GA,31794,Tift,Under 3
Momentum Autism Therapy Services,(833) 222-4273,,,GA,,DeKalb,Under 3
My Goal Resources,(877) 886-9462,P.O. Box 531,Monmouth Junction,NJ,8852,,Under 3
National Autism Association,877-622-2884,"One Park Avenue, Suite 1",Portsmouth,RI,2871,,Under 3
Neurodevelopmental Assessment & Consulting Services (NACS),(404) 254-5881,320 Winn Way Suite 102,Decatur,GA,30030,DeKalb,Under 3
Newnan Family Chiropractic,(770) 683-9105,197 Jefferson Pkwy,Newnan,GA,30263,Coweta,Under 3
Next Behavioral Solutions,(706) 905-5525,"6003 Veterans Parkway, Suite 219",Columbus,GA,31909,,Under 3
Next Phase Behavioral Solutions LLC,(706) 905-5525,,,GA,,Muscogee,Under 3
North Fulton Autism Support Group,(678) 315-2498,,Johns Creek,Ga,,Fulton,Under 3
Northstar Psychological Services,(770) 667-3877,120 Vann Street Suite 100,Marietta,GA,30060,Cobb,Under 3
Nurture Behavioral Health and Education Services,(912) 409-7889,1201 Shadowlawn Drive,St. Marys,Ga,,Camden,Under 3
Organization for Autism Research (OAR),(703) 243-9710 X 229,"2000 North 14th Street, Suite 300",Arlington,VA,22201,,Under 3
PAC (Parents of Autistic Children) of Northwest Georgia,(706) 528-2908,"1 Rosalyn Court, SW",Rome,GA,30165,Floyd,Under 3
Parent of Autistic Children of NW Georgia (PAC),(706) 528-2908,Etowah Senior Center 1325 Kingston Highway NE,Rome,GA,30165,Floyd,Under 3
Parenting ADHD & Autism,,PO Box 1376,Skyland,NC,28776,,Under 3
Peaceful Pieces Sensory Center,,P.O. Box 452,Ringgold,GA,30736,Catoosa,Under 3
Peachtree Pediatric Psychology,(404) 796-7777,"750 Hammond Drive, Building 10, Suite 100",Atlanta,GA,30328,DeKalb,Under 3
"Pediatric Speech Therapy of Forsyth, LLC",(770) 410-7719,"4080 McGinnis Ferry Road Building 300, Suite 302",Alpharetta,GA,30005,Forsyth,Under 3
Pieces to the Puzzle,(470) 262-1002,Gracepointe Church 7915 Dallas-Acworth Hwy.,Dallas,GA,30157,Paulding,Under 3
Positive Behavior Support Corporation,(855) 832-6727 Ext. 1890,7108 S Kanner Highway,Stuart,FL,34997,,Under 3
Positive Behavior Supports Corporation,(855) 832-6727 ext:1414,260 Peachtree Street NW,Atlanta,Georgia,30303,Fulton,Under 3
Positively Autism,Contact by email only,,,,,,Under 3
Putnam Jasper Support Services,(706) 484-2845,149 Sara Lee Drive,Eatonton,GA,31024,Putnam,Under 3
Rainbow Steps ABA,(470) 485-2220,"3100 Five Forks Trickum Rd SW STE 203,",Lilburn,GA,30047,Gwinnett,Under 3
RDI Connect,(850) 345-6010,"3292 Thompson Bridge Road, Suite 327",Gainesville,GA,30506,Hall,Under 3
Reaching Milestones - Augusta,(706) 863-9699,"624 Ponder Pl Dr,",Evans,Georgia,30809,Richmond,Under 3
Reaching Milestones - Columbus,(706) 221-1208,Columbus Reaching Milestones 1450 Suite C 54th Street,Columbus,GA,31904,Muscogee,Under 3
Rockdale County Autism Support Group,(404) 358-6253,PO Box 381,Conyers,GA,30012,Rockdale,Under 3
Rockldale County Autism Support Group,404-358-6253,PO Box 381,Conyers,GA,30012,Rockdale,Under 3
Roswell GA - SNAPS – Special Needs and Parent Support,,St. Peter Chanel Catholic Church 1330 Woodstock Road,Roswell,GA,30075,Fulton,Under 3
S.K.I.P. (Spectrum Kommunity Inclusion Project),770-617-8775,c/o Spectrum PO Box 3132,Suwanee,GA,30024,Gwinnett,Under 3
Southern Behavior Consultants LLC,(706) 870-1331,22 Buford Village Way Suite 229,Buford,GA,30518,Hall,Under 3
"Southern Behavioral Group, Inc.",(888) 759-7706,2470 Windy Hill Road Suite 300,Marietta,GA,30067,Cobb,Under 3
Southern Environmental Medicine Center,(404) 845-7484,"3833 Roswell Rd NE, Suite 116",Atlanta,GA,30342,Fulton,Under 3
"Southern Psychological and Behavioral Services, LLC",(229) 474-9800,2236 Bemiss Road,Valdosta,GA,31602,Lowndes,Under 3
Spark (Simons Foundation Powering Autism Research),,PO Box 1806,New York,NY,10159,,Under 3
"Special Citizens Futures Unlimited, Inc.",(212) 643-2663,1775 Grand Concourse 8th Floor,Bronx,NY,10118,,Under 3
Spectrum Autism Support Group,(770) 617-8775,P.O. Box 3132,Suwanee,GA,30024,Gwinnett,Under 3
Spectrum Behavioral Associates,770-974-2945,"4492 Acworth Industrial Dr NW #100,",Acworth,GA,30101,Cobb,Under 3
Spectrum Children Activity Center,(706) 427-2943,"79C Main Street, NW",Lilburn,GA,30047,Gwinnett,Under 3
Spectrum Grandparents Support Group,770-617-8775,P.O. Box 3132,Suwanee,GA,30024,Gwinnett,Under 3
Spectrum Integrative Health,(678) 691-0353,10160 Medlock Bridge Rd,Johns Creek,GA,30097,Fulton,Under 3
"Spectrum Life Services, LLC",(678) 775-8977,P.O. Box 2411,"Duluth,",GA,30096,Gwinnett,Under 3
Spectrum Pediatric Group,(770) 966-0778,3150 Cobb Parkway Suite 130,Kennesaw,GA,30152,Cobb,Under 3
Spirit of Autism,404-939-6211,3924 Barr Circle,Tucker,GA,30084,DeKalb,Under 3
"Spirit of Autism, LLC",(404) 939-6211,3924 Barr Circle,Tucker,GA,30084,DeKalb,Under 3
Sprout Therapy,(844) 793-0173,756 W Peachtree St NW,Atlanta,GA,30308,Fulton,Under 3
Talk About Curing Autism (TACA),949-640-4401,"TACA National Office 2222 Martin St., Suite 140",Irvine,CA,,,Under 3
Talk About Curing Autism (TACA-Georgia Chapter),678-513-1200,"The Hyperbaric Therapy Center 104 Colony Park Drive, Ste 500",Cumming,GA,,Forsyth,Under 3
Tameika Meadows,(404) 594-1398,,,GA,,DeKalb,Under 3
Taylor's Time,678-390-2611,4514 Chamblee Dunwoody Road Suite 417,Atlanta,GA,30338,DeKalb,Under 3
Team Autism Spectrum Clinic,423-622-0500,"Medical Towers 1000 E. 3rd Street, Suite 100",Chattanooga,TN,,,Under 3
Teresa Conner,(229) 319-8910,,,GA,,Tift,Under 3
The Autism Foundation of Georgia,(404) 712-2384,1551 Shoup Court,Decatur,GA,30033,DeKalb,Under 3
The Autism Learning Center,(706) 221-8966,6100 Veterans Pkwy Suite 11,Columbus,GA,31909,Muscogee,Under 3
The Growing Place,(404) 862-6525,2700 Northeast Expressway NE Suite A110,Atlanta,GA,30345,Fulton,Under 3
The Handle Institute,(206) 909-6028,P.O. Box 493735,Redding,CA,96049,,Under 3
The Healthy U Now Foundation,(904) 834-2938,5270 Palm Valley Road,Ponte Vedra Beach,FL,32082,,Under 3
The Howard Center for Social Cognition and Communication,(912) 385-2927,1316 West Orange Street,Jesup,GA,31545,Wayne,Under 3
The Howard Center for Social Cognition and Communication,(912) 385-2927,1316 West Orange Street,Jesup,GA,31545,Wayne,Under 3
The Kiss Foundation,678-698-3986,3165 Henderson Walk,Atlanta,GA,30340,DeKalb,Under 3
The Mosaic Project,770-314-1111,664 Crescent Ridge Trail,Mabelton,GA,,Cobb,Under 3
The New Normal Society,404-861-0337,,,GA,,Fulton,Under 3
"The Orchard Human Services, Inc.",(770) 686-0894,Serving the greater Metro Atlanta area,Atlanta,GA,,,Under 3
The Rimland Center,(434) 528-9075,2919 Confederate Avenue,Lynchburg,VA,24501,,Under 3
The Summit Autism Center - Roswell,(770) 552-1535,"1000 Holcomb Woods Parkway, Suite 320",Roswell,Georgia,30076,Fulton,Under 3
